uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(training_oov)	f1(testing_oov)
bfbecb6c-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	0.10000000000000001	7.41	5.55	26.42	24.0
bfbeb208-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	1.0	79.55	79.12	83.96	83.13
bfbe87c4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	1.0	79.41	78.87	83.75	82.99
bfbda6f6-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	0.001	0.55	0.28	17.9	15.97
bfbc3f5a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	0.001	7.79	7.65	16.35	15.26
bfbedd1e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	1.0	53.72	52.38	60.73	58.82
bfbb516c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.01	61.17	64.94	68.88	71.33
bfbe6b54-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	1.0	45.77	42.75	53.57	49.64
bfbcf774-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	1.0	45.79	44.2	54.36	51.55
bfbc0fd0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	1.0	80.23	81.27	85.9	86.41
bfbd7eb0-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	0.01	27.72	29.31	43.03	43.31
bfbdf8ae-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	1.0	74.11	75.46	79.22	80.08
bfbe994e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	0.001	1.81	1.63	4.36	3.87
bfbe188e-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.001	5.15	4.84	11.79	10.78
bfbc37da-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	0.10000000000000001	69.75	71.6	76.79	78.07
bfbe31ca-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	1.0	54.8	51.85	61.88	58.32
bfbdeab2-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	1.0	85.83	83.41	89.04	86.86
bfbe2004-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.10000000000000001	34.35	33.85	45.2	43.41
bfbbf9be-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.01	51.78	55.7	60.88	62.96
bfbb8b00-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.001	4.07	3.42	16.72	14.72
bfbb9a3c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	0.001	20.06	18.43	33.43	30.8
bfbf1608-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	1.0	44.11	41.66	51.89	48.57
bfbe5934-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	0.10000000000000001	30.06	30.74	39.78	39.17
